Antrim,Down
Antrim,Derry
Armagh,Down
Armagh,Tyrone
Armagh,Monaghan
Armagh,Louth
Carlow,Kilkenny
Carlow,Wexford
Carlow,Laois
Carlow,Kildare
Carlow,Wicklow
Cavan,Fermanagh
Cavan,Leitrim
Cavan,Longford
Cavan,Westmeath
Cavan,Meath
Cavan,Louth
Cavan,Monaghan
Clare,Galway
Clare,Limerick
Clare,Tipperary
Cork,Kerry
Cork,Limerick
Cork,Tipperary
Cork,Waterford
Donegal,Derry
Donegal,Tyrone
Donegal,Fermanagh
Donegal,Leitrim
Down,Antrim
Down,Armagh
Dublin,Meath
Dublin,Kildare
Dublin,Wicklow
Fermanagh,Tyrone
Fermanagh,Donegal
Fermanagh,Leitrim
Fermanagh,Cavan
Fermanagh,Monaghan
Galway,Mayo
Galway,Clare
Galway,Roscommon
Galway,Tipperary
Galway,Offaly
Kerry,Cork
Kerry,Limerick
Kildare,Dublin
Kildare,Meath
Kildare,Westmeath
Kildare,Offaly
Kildare,Laois
Kildare,Carlow
Kildare,Wicklow
Kilkenny,Wexford
Kilkenny,Waterford
Kilkenny,Carlow
Kilkenny,Laois
Kilkenny,Tipperary
Laois,Tipperary
Laois,Kilkenny
Laois,Carlow
Laois,Kildare
Laois,Offaly
Leitrim,Sligo
Leitrim,Roscommon
Leitrim,Longford
Leitrim,Cavan
Leitrim,Fermanagh
Leitrim,Donegal
Limerick,Kerry
Limerick,Cork
Limerick,Tipperary
Limerick,Clare
Derry,Antrim
Derry,Tyrone
Derry,Donegal
Longford,Roscommon
Longford,Westmeath
Longford,Cavan
Longford,Leitrim
Louth,Armagh
Louth,Monaghan
Louth,Cavan
Louth,Meath
Mayo,Sligo
Mayo,Roscommon
Mayo,Galway
Meath,Dublin
Meath,Kildare
Meath,Westmeath
Meath,Longford
Meath,Cavan
Meath,Monaghan
Meath,Louth
Monaghan,Armagh
Monaghan,Louth
Monaghan,Tyrone
Monaghan,Fermanagh
Monaghan,Cavan
Monaghan,Meath
Offaly,Laois
Offaly,Kildare
Offaly,Meath
Offaly,Westmeath
Offaly,Roscommon
Offaly,Galway
Offaly,Tipperary
Roscommon,Sligo
Roscommon,Galway
Roscommon,Mayo
Roscommon,Leitrim
Roscommon,Longford
Roscommon,Westmeath
Roscommon,Offaly
Sligo,Mayo
Sligo,Roscommon
Sligo,Leitrim
Tipperary,Limerick
Tipperary,Cork
Tipperary,Waterford
Tipperary,Kilkenny
Tipperary,Laois
Tipperary,Offaly
Tipperary,Galway
Tyrone,Armagh
Tyrone,Derry
Tyrone,Fermanagh
Tyrone,Donegal
Tyrone,Monaghan
Waterford,Cork
Waterford,Tipperary
Waterford,Kilkenny
Westmeath,Offaly
Westmeath,Kildare
Westmeath,Meath
Westmeath,Cavan
Westmeath,Longford
Westmeath,Roscommon
Wexford,Kilkenny
Wexford,Carlow
Wexford,Wicklow
Wicklow,Longford
Wicklow,Carlow
Wicklow,Kildare
Wicklow,Dublin